aalib 1.4rc5-14
acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 40.1.1-1
alsa-card-profiles 1:0.3.39-1
alsa-lib 1.2.5.1-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
alsa-utils 1.2.5.1-1
amtk 5.3.1-1
aom 3.2.0-1
appstream-glib 0.7.18-3
archlinux-appstream-data 20211018-1
archlinux-keyring 20211028-1
archlinuxarm-keyring 20140119-1
argon2 20190702-3
assimp 5.0.1-3
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.3-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-1
audit 3.0.5-1
autoconf 2.71-1
autoconf-archive 1:2021.02.19-2
automake 1.16.5-1
avahi 0.8+22+gfd482a7-1
base 2-2
bash 5.1.008-1
bash-completion 2.11-2
bat 0.18.3-1
bc 1.07.1-4
binutils 2.35-1
bison 3.8.2-1
bluez 5.62-1
bluez-libs 5.62-1
bluez-utils 5.62-1
boost-libs 1.76.0-1
botan 2.18.2-1
box2d 2.4.1-1
box64 0.1.4-1
brcm-patchram-plus r3.bee0942-6
brotli 1.0.9-4
btop 1.0.20-2
btrfs-progs 5.14.2-1
bubblewrap 0.5.0-1
bzip2 1.0.8-4
ca-certificates 20210603-1
ca-certificates-mozilla 3.72-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.303-1
cdparanoia 10.2-8
celluloid 0.21-1
celt 0.11.3-4
chafa 1.8.0-1
chromaprint 1.5.0-3
chromium 95.0.4638.69-2
chrono-date 3.0.1-1
cifs-utils 6.14-1
ckbcomp 1.204-1
clang 12.0.1-1
clucene 2.3.3.4-11
cmake 3.21.4-1
cmatrix 2.0-2
colord 1.4.5-4
colord-sane 1.4.5-4
compiler-rt 12.0.1-2
convertlit 1.8-10
coreutils 9.0-2
cpu-temp-speed 20200118-1
cracklib 2.9.7-2
crda 4.14-4
cryptsetup 2.4.1-3
crystal 1.2.1-1
cups 1:2.3.3op2-3
cups-filters 1.28.10-1
curl 7.79.1-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-1
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.14-1
dex 0.9.0-1
dhclient 4.4.2.P1-1
diffutils 3.8-1
djvulibre 3.5.28-3
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
dosfstools 4.2-1
double-conversion 3.1.5-2
e2fsprogs 1.46.4-1
ebook-tools 0.2.2-7
elfutils 0.185-1
elixir 1.12.2-1
enchant 2.3.1-1
eog 41.0-1
epr-git 2.4.12.r139.e45a347-1
epy-git r163.0eb1e58-1
erlang 24.1.2-1
espeak 1:1.48.04-3
evince 40.4-1
exa 0.9.0-3
exempi 2.5.2-1
exiv2 0.27.5-1
expat 2.4.1-1
extra-cmake-modules 5.87.0-1
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.26-1
fcft 2.4.6-1
fd 8.2.1-1
ffmpeg 2:4.4-6
ffmpegthumbnailer 2.2.2-2
fftw 3.3.10-1
file 5.41-1
file-roller 3.40.0-1
filesystem 2021.02-2
findutils 4.8.0-1
firefox 94.0-1
firefox-ublock-origin 1.38.6-1
firmware-raspberrypi 7.1-1
fish 3.3.1-1
flac 1.3.3-3
flex 2.6.4-3
fluidsynth 2.2.3-1
fmt 8.0.1-1
fontconfig 2:2.13.94-1
foot 1.9.2-2
foot-terminfo 1.9.2-2
fractal 4.4.0-2
freetype2 2.11.0-4
fribidi 1.0.11-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
fuse3 3.10.5-1
fuzzel 1.6.4-1
fzf 0.27.3-1
gawk 5.1.1-1
gc 8.2.0-1
gcab 1.4-1
gcc 10.2.0-1
gcc-libs 10.2.0-1
gcolor3 2.4.0-3
gcr 3.40.0-1
gd 2.3.3-3
gdbm 1.22-1
gdk-pixbuf2 2.42.6-2
gedit 40.1-1
gedit-plugins 40.1-1
geoclue 2.5.7-4
geocode-glib 3.26.2-1
gettext 0.21-1
ghostscript 9.55.0-2
giflib 5.2.1-2
girara 0.3.6-1
git 2.33.1-1
gitui 0.18.0-1
gjs 2:1.68.3-2.1
glib-networking 1:2.70.0-1
glib2 2.70.0-2.1
glibc 2.32-2
glibmm 2.66.2-1
glslang 11.6.0-1
glu 9.0.2-1
gmp 6.2.1-1
gnome-autoar 0.4.1-1
gnome-desktop 1:40.4-1
gnome-disk-utility 41.0-1
gnome-epub-thumbnailer 1.6-2
gnome-keyring 1:40.0-1
gnupg 2.2.29-1
gnutls 3.7.2-2
go 2:1.17.2-2
gobject-introspection 1.70.0-2.1
gobject-introspection-runtime 1.70.0-2.1
gperf 3.1-3
gperftools 2.9.1-1
gpg-tui 0.8.1-1
gpgme 1.16.0-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.8-1
graphene 1.10.6-1
graphite 1:1.3.14-1
greetd 0.8.0-1
greetd-gtkgreet 0.7-1
grep 3.7-1
grim 1.3.2-1
grimshot 1.6.1-1
groff 1.22.4-6
gsettings-desktop-schemas 41.0-1
gsfonts 20200910-2
gsm 1.0.19-1
gspell 1.8.4-1
gssdp 1.4.0.1-1
gst-editing-services 1.18.5-1
gst-libav 1.18.5-1
gst-plugin-gtk 1.18.5-2
gst-plugin-pipewire 1:0.3.39-1
gst-plugins-bad 1.18.5-3
gst-plugins-bad-libs 1.18.5-3
gst-plugins-base 1.18.5-1
gst-plugins-base-libs 1.18.5-1
gst-plugins-good 1.18.5-2
gstreamer 1.18.5-1
gtk-layer-shell 0.6.0-1
gtk-update-icon-cache 1:4.4.1-1
gtk2 2.24.33-2
gtk3 1:3.24.30+90+g20be04f7ac-1
gtk3-nocsd 3.0.1-1
gtkmm3 3.24.5-2
gtksourceview3 3.24.11+28+g73e57b57-1
gtksourceview4 4.8.2-1
guile 2.2.7-2.1
